"c_npc_instance","subtitle_de","subtitle_pl","subtitle_name","dialogue_instance_name"
"NONE_1500_Naczelnik","Richtig. Sei nicht überrascht, wenn ich das frage, denn der Tod von drei Wachen ist keine Kleinigkeit.","Zgadza się. Nie dziw się, że tak pytam, bo śmierć trzech strażników to nie byle co.","DIA_Naczelnik_CS_ONEKILLED_03_05","DIA_Naczelnik_CS_ONEKILLED"
"NONE_1500_Naczelnik","Weggetreten!","Odmaszerować!","DIA_Naczelnik_CS_ONEKILLED_03_06","DIA_Naczelnik_CS_ONEKILLED"
"NONE_1500_Naczelnik","EINDRINGLING!","INTRUZ!","DIA_Naczelnik_CS_ONEKILLED_03_07","DIA_Naczelnik_CS_ONEKILLED"
"PC_HERO","Aksel.","Aksel.","DIA_Naczelnik_CS_ONEKILLED_15_08","DIA_Naczelnik_CS_ONEKILLED"
"PC_HERO","Jonatan.","Jonatan.","DIA_Naczelnik_CS_ONEKILLED_15_09","DIA_Naczelnik_CS_ONEKILLED"
"NONE_1500_Naczelnik","Wir haben herausgefunden, wie deine Kameraden"" gestorben sind"".","Ustaliliśmy jak zginęli twoi 'kompani'.","DIA_Naczelnik_CS_MOREKILLED_03_01","DIA_Naczelnik_CS_MOREKILLED"
"NONE_1500_Naczelnik","Die tödlichen Schläge kamen nicht von Schlangen.","Śmiertelne ciosy nie pochodziły od węży.","DIA_Naczelnik_CS_MOREKILLED_03_02","DIA_Naczelnik_CS_MOREKILLED"
"NONE_1500_Naczelnik","EINDRINGLING!","INTRUZ!","DIA_Naczelnik_CS_MOREKILLED_03_03","DIA_Naczelnik_CS_MOREKILLED"
"NONE_1514_Prison_guard","Wo gehst du hin? Du hast die Schlangen bereits getötet.","Gdzie ty idziesz? Już zabiliście węże.","DIA_TOKATGUARD_AFTERSHARKS_03_01","DIA_TOKATGUARD_AFTERSHARKS"
"NONE_1514_Prison_guard","Oder besser gesagt, die Schlangen haben fast alle von euch getötet.","A raczej węże zabiły niemal wszystkich z was.","DIA_TOKATGUARD_AFTERSHARKS_03_02","DIA_TOKATGUARD_AFTERSHARKS"
"PC_HERO","Ich hatte mich verlaufen.","Zagapiłem się.","DIA_TOKATGUARD_AFTERSHARKS_15_03","DIA_TOKATGUARD_AFTERSHARKS"
"PC_HERO","Hast du einen trockenen Hals?","Zaschło ci w gardle?","DIA_PRISON_IMPORTANT_GUARD_DRINK_15_01","DIA_PRISON_IMPORTANT_GUARD_DRINK"
"PRI_1524_DARYL","Ja, du weißt, wie die Luft hier ist.","Tak, wiesz jakie tu jest powietrze.","DIA_PRISON_IMPORTANT_GUARD_DRINK_03_02","DIA_PRISON_IMPORTANT_GUARD_DRINK"
"PC_HERO","Ein fahrender Händler verkaufte Schnaps in der Arena.","Wędrowny handlarz sprzedawał trunki. Byłem kibicować na arenie..","DIA_PRISON_IMPORTANT_GUARD_DRINK_15_03","DIA_PRISON_IMPORTANT_GUARD_DRINK"
"PRI_1524_DARYL","Okay, gib schon her!","Dobra, dawaj!","DIA_PRISON_IMPORTANT_GUARD_DRINK_03_04","DIA_PRISON_IMPORTANT_GUARD_DRINK"
"PC_HERO","Hallo Daryl..","Hej Daryl..","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_15_01","DIA_PRISON_IMPORTANT_GUARD_GOAWAY"
"PRI_1524_DARYL","Du hast mir doch schon Essen gegeben. Warum bist Du hier?","Już przekazywałeś mi jedzenie. A ty tu czego?","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_03_02","DIA_PRISON_IMPORTANT_GUARD_GOAWAY"
"PC_HERO","Du willst doch bestimmt nicht die ganze Schicht hier stehen oder?","Nie będziesz tu chyba stał całą zmianę?","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_15_03","DIA_PRISON_IMPORTANT_GUARD_GOAWAY"
"PRI_1524_DARYL","Das hast nicht du zu entscheiden.","A to nie ty o tym decydujesz.","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_03_04","DIA_PRISON_IMPORTANT_GUARD_GOAWAY"
"PC_HERO","Der Wärter hat dir gesagt, du sollst dich umziehen.","Naczelnik kazał ci się zmienić.","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_15_05","DIA_PRISON_IMPORTANT_GUARD_GOAWAY"
"PRI_1524_DARYL","Normalerweiße schickt er aber nicht dich dafür.","Zazwyczaj nie wysyłał w tym celu ciebie.","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_03_06","DIA_PRISON_IMPORTANT_GUARD_GOAWAY"
"PC_HERO","Erinnerst du dich, dass du mir von den Regeln erzählt hast?","Pamiętasz, że mówiłeś mi o zasadach?","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_15_07","DIA_PRISON_IMPORTANT_GUARD_GOAWAY"
"PRI_1524_DARYL","Welche Regeln? Verlassen dich nicht auf mein Wort!","Jakich zasadach? Nie łap mnie za słówka!","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_03_08","DIA_PRISON_IMPORTANT_GUARD_GOAWAY"
"PC_HERO","Über Regel Nummer sechs.","O zasadzie numer sześć.","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_15_09","DIA_PRISON_IMPORTANT_GUARD_GOAWAY"
"PRI_1524_DARYL","Nummer sechs!? Was war diese Regel nochmal?","Numer sześć!? Co to za zasada?","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_03_10","DIA_PRISON_IMPORTANT_GUARD_GOAWAY"
"PC_HERO","Niemand muss wissen, dass ich dich ablösen werde.","Nikt nie musi wiedzieć, że cię zmienię.","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_15_11","DIA_PRISON_IMPORTANT_GUARD_GOAWAY"
"PRI_1524_DARYL","Warte, warum interessierst du dich so für diese Zelle?","Chwila, co cię tak interesuje ta cela?","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_03_12","DIA_PRISON_IMPORTANT_GUARD_GOAWAY"
"PC_HERO","Ich habe bemerkt, dass du hier nicht mehr Wache stehen willst. Heute helfe ich dir, dann hilfst du mir.","Widzę, że ci się już tu nie chce stać. Dziś pomogę tobie, potem ty pomożesz mi.","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_15_13","DIA_PRISON_IMPORTANT_GUARD_GOAWAY"
"PRI_1524_DARYL","Dann hilf mir und lass mich in Ruhe!","Pomóż mi i zostaw mnie w spokoju!","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_03_14","DIA_PRISON_IMPORTANT_GUARD_GOAWAY"
"PC_HERO","Ich bin nach zwei Wochen zurückgekehrt. Die Aufgabenteilung könnte sich geändert haben.","Wróciłem po dwóch tygodniach. Podział zadań mógł się zmienić.","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_15_15","DIA_PRISON_IMPORTANT_GUARD_GOAWAY"
"PRI_1524_DARYL","Du bist zu begierig, hier zu stehen. Ich werde warten.","Jesteś zbyt chętny, by tu stanąć. Poczekam sobie.","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_03_16","DIA_PRISON_IMPORTANT_GUARD_GOAWAY"
"PC_HERO","Die Wache in der Zelle mit dem Sondergefangenen wird ohne Befehl ausgewechselt.","Wartę przy celi ze specjalnym więźniem zmienia się bez rozkazu.","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_15_17","DIA_PRISON_IMPORTANT_GUARD_GOAWAY"
"PRI_1524_DARYL","Du hast gerade gesagt, dass der Chef es gesagt hat. Du verhältst dich komisch.","Przed chwilą mówiłeś, że szef tak kazał. Dziwnie się zachowujesz.","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_03_18","DIA_PRISON_IMPORTANT_GUARD_GOAWAY"
"PRI_1524_DARYL","Äh ja, ich gehe.","Eee tak, to idę.","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_03_20","DIA_PRISON_IMPORTANT_GUARD_GOAWAY"
"PC_HERO","Wachablösung mit einer Person, die aus dem Urlaub zurückkehrt.","Zmienia się wartę z osobą wracającą z urlopu.","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_15_21","DIA_PRISON_IMPORTANT_GUARD_GOAWAY"
"PRI_1524_DARYL","Du hast bereits von Urlaub gesprochen. Du verhältst dich komisch.","Już mówiłeś o urlopie. Dziwnie się zachowujesz.","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_03_22","DIA_PRISON_IMPORTANT_GUARD_GOAWAY"
"PC_HERO","Niemand muss wissen, dass die Wache wechselt.","Nikt nie musi wiedzieć, że zmienia się wartę.","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_15_25","DIA_PRISON_IMPORTANT_GUARD_GOAWAY"
"PRI_1524_DARYL","War das nicht Regel Nummer eins? Egal. Also gehe ich.","A to nie była zasada numer jeden? A nieważne. To idę.","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_03_26","DIA_PRISON_IMPORTANT_GUARD_GOAWAY"
"PRI_1524_DARYL","Es ist Regel Nummer eins! Du erinnerst dich nicht mehr? Komische Sache.","Przecież to zasada numer jeden! Już nie pamiętasz? Dziwna sprawa.","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_03_27","DIA_PRISON_IMPORTANT_GUARD_GOAWAY"
"PRI_1524_DARYL","Lass mich bloß in Ruhe!","Zostaw mnie w spokoju!","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_03_28","DIA_PRISON_IMPORTANT_GUARD_GOAWAY"
"NONE_2316_Caradas","Es war schwer, nicht zu lachen.","Ciężko było mi się nie śmiać.","DIA_Caradas_FirstMeet_03_01","DIA_Caradas_FirstMeet"
"NONE_2316_Caradas","Ich bezweifle, dass er nach dieser Dosis überhaupt aufwachen würde.","Wątpię, by się w ogóle obudził po takiej dawce.","DIA_Caradas_FirstMeet_03_02","DIA_Caradas_FirstMeet"
"NONE_2316_Caradas","Und du willst mich sicher befreien.","A ty z pewnością chcesz mnie uwolnić.","DIA_Caradas_FirstMeet_03_03","DIA_Caradas_FirstMeet"
"PC_HERO","Du solltest durch die Kanalisation abhauen. Es ist weniger riskant als in die Innenstadt zu gehen.","Powinno się udać kanałami. To mniejsze ryzyko, niż iść miastem.","DIA_Caradas_FirstMeet_15_04","DIA_Caradas_FirstMeet"
"NONE_2316_Caradas","Wir haben herausgefunden, wie wir uns wenigstens an den Wachen rächen können. Uns fehlte eine Person von den Wächtern.","Kombinowaliśmy jak się przynajmniej zemścić na strażnikach. Brakowało nam osoby ze straży.","DIA_Caradas_FirstMeet_03_05","DIA_Caradas_FirstMeet"
"NONE_2316_Caradas","Zeit, meinen Plan auszuführen. Die Gefangenen wollen kämpfen.","Czas na realizację mojego planu. Więźniowie chcą walczyć.","DIA_Caradas_FirstMeet_03_06","DIA_Caradas_FirstMeet"
"NONE_2316_Caradas","Finde mindestens fünf Waffenpakete. Gib einen davon den Gefangenen in der nächsten Zelle.","Znajdź przynajmniej pięć paczek z bronią. Jedną z nich daj więźniom w celi obok.","DIA_Caradas_FirstMeet_03_07","DIA_Caradas_FirstMeet"
"NONE_2316_Caradas","Lege den Rest in deine Truhe bei den Zellen auf der rechten Seite. Schließe sie aber nicht ab.","Resztę wsadź do waszej skrzyni przy celach po prawej stronie. Nie zamykaj jej na klucz.","DIA_Caradas_FirstMeet_03_08","DIA_Caradas_FirstMeet"
"NONE_2316_Caradas","Trage maximal zwei Pakete mit dir.","Noś ze sobą po maksymalnie dwie paczki.","DIA_Caradas_FirstMeet_03_09","DIA_Caradas_FirstMeet"
"NONE_2316_Caradas","Meine Gefängnistür lässt sich mit dem Schlüssel des Wärters öffnen. Sie sind wahrscheinlich in seinem Büro.","Moje kraty można otworzyć, mając klucz naczelnika. Który jest pewnie w jego gabinecie.","DIA_Caradas_FirstMeet_03_10","DIA_Caradas_FirstMeet"
"NONE_2316_Caradas","Bestimme die Position des Schlüssels und stehle ein Stück Käse, wirf dann zuerst den Käse auf den Schlüssel und lass die Ratte den Rest machen.","Ustal położenie klucza i rzuć na niego ukradkiem kawałek sera. Najpierw rzuć ser, potem weź szczura.","DIA_Caradas_FirstMeet_03_11","DIA_Caradas_FirstMeet"
"NONE_2316_Caradas","Hier ist ein verrückter Gefangener, der eine Ratte abgerichtet hat. Überzeuge ihn, dir zu Helfen.","Jest tu szalony więzień, który wytresował szczura. Przekonaj go, by ci go dał.","DIA_Caradas_FirstMeet_03_12","DIA_Caradas_FirstMeet"
"NONE_2316_Caradas","Bevor du das Büro betrittst, lege die Ratte auf den Boden und sie sollte eigentlich hineinlaufen.","Przed wejściem do gabinetu połóż szczura na ziemię i powinien wbiec do środka.","DIA_Caradas_FirstMeet_03_13","DIA_Caradas_FirstMeet"
"NONE_2316_Caradas","Vielleicht schluckt sie den Käse zusammen mit dem Schlüssel. Fange dann die Ratte und nimm dir den Schlüssel.","Może połknie ser wraz z kluczem. Potem złap szczura i wyjmij klucz..","DIA_Caradas_FirstMeet_03_14","DIA_Caradas_FirstMeet"
"NONE_2316_Caradas","Öffne die Gitter meiner Zelle, dann die Zelle nebenan, und wir können abhauen.","Otwórz kraty mojej celi, potem celi obok i możemy uciekać.","DIA_Caradas_FirstMeet_03_15","DIA_Caradas_FirstMeet"
"NONE_2316_Caradas","Ich habe schon zu lange geredet.","Już za długo mówię.","DIA_Caradas_FirstMeet_03_16","DIA_Caradas_FirstMeet"
"PC_HERO","Auf was starrst du?","Na co się gapisz?","DIA_2314_Prisoner_GIVEWEAPONS_15_01","DIA_2314_Prisoner_GIVEWEAPONS"
"PC_HERO","Ich würde gerne ein Stück Käse essen.","Zjadłbym kawał sera.","DIA_Kucharz_CHEESE_15_01","DIA_Kucharz_CHEESE"
"NONE_1523_Kucharz","Sind meine Mahlzeiten nicht genug für dich? Denkst du, ich koche schlecht?","Moje posiłki ci nie wystarczają? Uważasz, że źle gotuję?","DIA_Kucharz_CHEESE_03_02","DIA_Kucharz_CHEESE"
"PC_HERO","Nein, nicht für uns. Nur für die Gefangenen.","Nie, nam nie. Tylko więźniom.","DIA_Kucharz_CHEESE_15_03","DIA_Kucharz_CHEESE"
"NONE_1523_Kucharz","Pass auf das du nicht von einer Ratte gefressen wirst!","Masz, tylko uważaj, by nie zjadł go jakiś szczur!","DIA_Kucharz_CHEESE_03_04","DIA_Kucharz_CHEESE"
"PC_HERO","Danke.","Dzięki.","DIA_Kucharz_CHEESE_15_05","DIA_Kucharz_CHEESE"
"PC_HERO","Ich habe wieder Hunger. Ich würde gern ein Stück Käse essen.","Znowu zgłodniałem. Zjadłbym kawał sera.","DIA_Kucharz_CHEESEAGAIN_15_01","DIA_Kucharz_CHEESEAGAIN"
"NONE_1500_Naczelnik","Was machst du hier?","Co tu tak chodzisz?","DIA_Naczelnik_CHEESE_03_01","DIA_Naczelnik_CHEESE"
"PC_HERO","Ich wollte ein Buch lesen.","Chciałem poczytać książkę.","DIA_Naczelnik_CHEESE_15_02","DIA_Naczelnik_CHEESE"
"NONE_1500_Naczelnik","Wenn du lesen könntest, hättest du einen anderen Job.","Gdyby chciało ci się czytać, to byś miał inny zawód.","DIA_Naczelnik_CHEESE_03_03","DIA_Naczelnik_CHEESE"
"NONE_1500_Naczelnik","Verschwinde von hier, bevor ich wütend werde!","Idź stąd, zanim się zdenerwuję!","DIA_Naczelnik_CHEESE_03_04","DIA_Naczelnik_CHEESE"
"PC_HERO","Kann ich mir die Ratte einen moment ausleihen?","Dasz szczura na chwilę?","DIA_NONE_2305_Prisoner_RAT_15_01","DIA_NONE_2305_Prisoner_RAT"
"NONE_2305_Prisoner","Wenn er weggelaufen ist, mag er dich nicht!","Jak uciekł, to cię nie lubi!","DIA_NONE_2305_Prisoner_RAT_03_02","DIA_NONE_2305_Prisoner_RAT"
"PC_HERO","Irgendein Wächter hat ihm Angst gemacht!","Jakiś strażnik go wystraszył!","DIA_NONE_2305_Prisoner_RAT_15_03","DIA_NONE_2305_Prisoner_RAT"
"NONE_2305_Prisoner","(erbost) Dieser kleine schleimige Verbrecher! Okay, da hast du sie nochmal.","A to podła gnida! Dobra, masz.","DIA_NONE_2305_Prisoner_RAT_03_04","DIA_NONE_2305_Prisoner_RAT"
"NONE_2305_Prisoner","Ist meine Ratte so berühmt?","Mój szczur jest tak znany?","DIA_NONE_2305_Prisoner_RAT_03_05","DIA_NONE_2305_Prisoner_RAT"
"PC_HERO","Ja, und ich möchte sie zum Koch bringen, um sie zu füttern.","Tak i chcę go zanieść do kucharza, by go nakarmił.","DIA_NONE_2305_Prisoner_RAT_15_06","DIA_NONE_2305_Prisoner_RAT"
"NONE_2305_Prisoner","Füttern… Du willst sie ihm doch zum Kochen geben!","Nakarmił.. do gara chcesz go włożyć!","DIA_NONE_2305_Prisoner_RAT_03_07","DIA_NONE_2305_Prisoner_RAT"
"PC_HERO","Der Koch hat kürzlich Käse bekommen.","Kucharz dostał ostatnio ser.","DIA_NONE_2305_Prisoner_RAT_15_08","DIA_NONE_2305_Prisoner_RAT"
"NONE_2305_Prisoner","Käse? Die Ratte beklagte sich kürzlich über eine zu wenig abwechslungsreiche Ernährung. Gut, dass es sowas hier gibt.","Ser? Szczurek ostatnio narzekał na niezróżnicowaną dietę. Dobra masz.","DIA_NONE_2305_Prisoner_RAT_03_09","DIA_NONE_2305_Prisoner_RAT"
"PC_HERO","Danke.","Dzięki.","DIA_NONE_2305_Prisoner_RAT_15_02","DIA_NONE_2305_Prisoner_RAT"
"NONE_2316_Caradas","Ich kann so nicht mehr weiterlaufen. Führe mich zu diesen Gittern.","Nie mogę już tak biec. Zaprowadź mnie do tych krat.","DIA_Caradas_EntryCanals_03_01","DIA_Caradas_EntryCanals"
"NONE_1500_Naczelnik","Die Wachen haben sich zerstreut, als ob es eine Suche gebe.","Strażnicy się rozpierzchli, jakby miała miejsce jakaś obława.","DIA_Naczelnik_LASTMEET_03_01","DIA_Naczelnik_LASTMEET"
"NONE_1500_Naczelnik","Du kamst mir von Anfang an verdächtig vor.","Od początku wydawałeś mi się podejrzany.","DIA_Naczelnik_LASTMEET_03_02","DIA_Naczelnik_LASTMEET"
"PC_HERO","Und du hast mir erlaubt, einen Häftlingsaufstand zu entfesseln? Das ist das Ende deiner Karriere als Aufseher.","I pozwoliłeś mi rozpętać bunt więźniów? To już koniec twojej kariery naczelnika.","DIA_Naczelnik_LASTMEET_15_03","DIA_Naczelnik_LASTMEET"
"NONE_1500_Naczelnik","Genug!","Dosyć!","DIA_Naczelnik_LASTMEET_03_04","DIA_Naczelnik_LASTMEET"
"NONE_2316_Caradas","Niemand sollte uns noch verfolgen.","Już nikt nie powinien nas gonić.","DIA_Caradas_ExitCanals_03_01","DIA_Caradas_ExitCanals"
"PC_HERO","Was ist mit diesen Gitterstäben?","A co z tymi kratami?","DIA_Caradas_ExitCanals_15_02","DIA_Caradas_ExitCanals"
"NONE_2316_Caradas","Ich habe eine Idee…","Mam pomysł…","DIA_Caradas_ExitCanals_03_03","DIA_Caradas_ExitCanals"
"NONE_2316_Caradas","Es sieht so aus, als ob wir jetzt nicht mehr weit von der Oberfläche entfernt sind.","Wygląda na to, że już niedaleko do wyjścia na powierzchnię.","DIA_Caradas_EnterBeach_03_01","DIA_Caradas_EnterBeach"
"PC_HERO","Das denke ich auch.","Też tak sądzę.","DIA_Caradas_EnterBeach_15_02","DIA_Caradas_EnterBeach"
"NONE_2316_Caradas","Von hier aus geht's weiter.","Chodźmy już stąd.","DIA_Caradas_EnterBeach_03_03","DIA_Caradas_EnterBeach"
"PC_HERO","Woher wusstest du, dass wir hier herauskommen würden?","Skąd wiedziałeś, że tędy wyjdziemy?","DIA_Kaly_PrisonBeach_15_02","DIA_Kaly_PrisonBeach"
"NONE_5000_Kaly","Ich wusste es nicht. Deshalb wartet noch ein weiterer Rebell am Eingang des Gefängnisses.","Nie wiedziałem. Dlatego przy wejściu do więzienia nadal czeka inny rebeliant.","DIA_Kaly_PrisonBeach_03_01","DIA_Kaly_PrisonBeach"
"NONE_2316_Caradas","Du bist es! Sag mir, dass meine Leiden nicht umsonst war. Bist du Keldrom, der rechtmäßige Thronfolger?","To ty! Powiedz, że moje cierpienia nie poszły na marne. Jesteś Keldrom, prawowity następca tronu?","DIA_Caradas_PrisonBeach_03_01","DIA_Caradas_PrisonBeach"
"NONE_5000_Kaly","Ich bin der Sohn des ermordeten Königs Brahim und der rechtmäßige Thronfolger, ja.","Jestem synem zamordowanego króla Brahima i prawowitym następcą tronu.","DIA_Kaly_PrisonBeach_IAM_03_01","DIA_Kaly_PrisonBeach_IAM"
"NONE_5000_Kaly","Wir sind hier, um Rezenhart und seine Handlanger von Thron zu stoßen.","Jesteśmy tu po to, by odsunąć od władzy Rezenharta i jego popleczników.","DIA_Kaly_PrisonBeach_IAM_03_02","DIA_Kaly_PrisonBeach_IAM"
"NONE_2316_Caradas","Du sprachst von den Rebellen? Erzähl mir mehr über sie.","Mówiłeś o rebeliantach? Powiedz mi o nich więcej.","DIA_Caradas_PrisonBeach_Tired_03_01","DIA_Caradas_PrisonBeach_Tired"
"NONE_5000_Kaly","Noch nicht, ich gehe mit Romulus zurück in die Stadt. Wir reden, wenn du nicht mehr so erschöpft bist.","Jeszcze nie teraz, wracam z Romulusem do miasta. Co po naszej rozmowie, gdy jesteś tak wyczerpany.","DIA_Kaly_PrisonBeach_NotNow_03_01","DIA_Kaly_PrisonBeach_NotNow"
"NONE_5000_Kaly","Das ist Primes. Es wird mit dir zu einem sicheren Ort segeln, an dem du dich ausruhen wirst.","To Primes. Popłynie z tobą w bezpieczne miejsce, gdzie wypoczniesz.","DIA_Kaly_PrisonBeach_NotNow_03_02","DIA_Kaly_PrisonBeach_NotNow"
"NONE_2316_Caradas","Ich mache mich auf den Weg. Ich freue mich auf das nächste Treffen.","To w drogę. Czekam na kolejne spotkanie.","DIA_Caradas_PrisonBeach_End_03_01","DIA_Caradas_PrisonBeach_End"
"NONE_11545_Enginer","Die Bastarde haben Kanoniere auf dem Aussichtsturm.","Skurczybyki mają strzelców na wieży obserwacyjnej.","DIA_Enginer_HELLO1_03_01","DIA_Enginer_HELLO1"
"NONE_11545_Enginer","Sobald du in der Nähe bist, werde ich ihnen das Leben schwer machen, haha!","Gdy tylko będziecie blisko dam im popalić, haha!","DIA_Enginer_HELLO1_03_02","DIA_Enginer_HELLO1"
"PC_HERO","Lass dich nur nicht von diesem Katapult treffen.","Tylko żebyś w nas tą katapultą nie trafił.","DIA_Enginer_HELLO1_15_03","DIA_Enginer_HELLO1"
"NONE_11545_Enginer","Keine Sorge, ich beschäftige mich seit 20 Jahren mit Belagerungsmaschinen.","Spokojna głowa, 20 lat zajmuję się machinami oblężniczymi.","DIA_Enginer_HELLO1_03_04","DIA_Enginer_HELLO1"
"NONE_11545_Enginer","Du musst dir keine Sorgen machen!","Nie macie co się przejmować!","DIA_Enginer_HELLO1_03_05","DIA_Enginer_HELLO1"
"NONE_44812_Dadol","Du bist hier hoch gekommen? Bewundernswert.","Chciało ci się tu wchodzić? Podziwiam.","DIA_Dadol_HELLO1_03_01","DIA_Dadol_HELLO1"
"NONE_44812_Dadol","Ich traue mich kaum noch die Leiter runter, die sollen uns endlich Treppen bauen. Aber es zählt ja nur Geld bei denen.","Mi już coraz bardziej odechciewa się wchodzić po tej drabinie, powinni zrobić nam schody, tylko pieniądze się liczą.","DIA_Dadol_HELLO1_03_02","DIA_Dadol_HELLO1"
"NONE_44812_Dadol","Aber zumindest hat man eine schöne Aussicht von hier oben.","Plus taki, że przynajmniej widoki są przednie.","DIA_Dadol_HELLO1_03_03","DIA_Dadol_HELLO1"
"NONE_44812_Dadol","Wie auch immer, hier für dich.","W ogóle, masz, to dla ciebie.","DIA_Dadol_HELLO1_03_04","DIA_Dadol_HELLO1"
"NONE_44812_Dadol","Du musst eine Menge Kraft verschwendet haben, um hier raufzukommen.","Pewnie dużo energii straciłeś wchodząc tutaj.","DIA_Dadol_HELLO1_03_05","DIA_Dadol_HELLO1"
"NONE_5000_Kaly","Hey, Junge!","Hej! Młody!","DIA_KALY_HELLO1_03_01","DIA_KALY_HELLO1"
"PC_HERO","Was willst du?","Czego chcesz?","DIA_KALY_HELLO1_15_02","DIA_KALY_HELLO1"
"NONE_5000_Kaly","Ein Sklave, oder? Wirst du bald in der Arena kämpfen?","Niewolnik, tak? Będziesz niedługo walczył na arenie?","DIA_KALY_HELLO1_03_03","DIA_KALY_HELLO1"
"PC_HERO","Leider ja.","Niestety tak.","DIA_KALY_HELLO1_15_04","DIA_KALY_HELLO1"
"NONE_5000_Kaly","Leider? Würdest du lieber für den Rest deines Lebens nach Gold graben?","Niestety? A wolałbyś kopać złoto do końca życia?","DIA_KALY_HELLO1_03_05","DIA_KALY_HELLO1"
"NONE_5000_Kaly","Ich habe gesehen, wie du mit den Wachen gekämpft hast, als sie dich hierher gebracht haben. Ich sehe Potenzial in dir.","Widziałem jak szarpałeś się ze strażnikami, jak wprowadzali cię tutaj. Widzę w tobie potencjał.","DIA_KALY_HELLO1_03_06","DIA_KALY_HELLO1"
"PC_HERO","Potenzial in was?","Potencjał w czym?","DIA_KALY_HELLO1_15_07","DIA_KALY_HELLO1"
"NONE_5000_Kaly","Als Gladiator. Die anderen brachten dich hierher - naja, um es milde auszudrücken - du siehst nicht besonders gut.","W byciu Gladiatorem. Pozostali, których tutaj wprowadzili - no delikatnie mówiąc - nie rokują zbyt dobrze.","DIA_KALY_HELLO1_03_08","DIA_KALY_HELLO1"
"NONE_5000_Kaly","Du wirst deinen ersten Kampf nicht überstehen, da bin ich mir sicher.","Nie przetrwają swojej pierwszej walki, jestem tego pewien.","DIA_KALY_HELLO1_03_09","DIA_KALY_HELLO1"
"NONE_5000_Kaly","Hör mal. Du brauchst jemanden, der dir in dieser Welt hilft. Ob du willst oder nicht, dein Schicksal ist es, ein Gladiator zu werden, und du kannst nichts dagegen tun.","Słuchaj. Potrzebujesz kogoś kto wprowadzi cię w ten świat. Chcesz czy nie, twoim przeznaczeniem jest zostać gladiatorem i nic z tym nie zrobisz.","DIA_KALY_HELLO1_03_10","DIA_KALY_HELLO1"
"NONE_5000_Kaly","Nun, es sei denn, du ziehst es vor, unter der Richtbühne zu landen.","No chyba, że wolisz wylądować pod gilotyną.","DIA_KALY_HELLO1_03_11","DIA_KALY_HELLO1"
"PC_HERO","Nein, ich werde für meine kämpfen. Ich werde meine Lieben rächen.","Nie, zamierzam walczyć o swoje. Pomszczę swoich bliskich.","DIA_KALY_HELLO1_15_12","DIA_KALY_HELLO1"
"NONE_5000_Kaly","Umso mehr müssen wir reden. Lass uns an einen abgelegenen Ort gehen. Folge mir.","Tym bardziej musimy porozmawiać. Chodźmy w jakieś ustronne miejsce. Za mną.","DIA_KALY_HELLO1_03_13","DIA_KALY_HELLO1"
"NONE_5000_Kaly","Hör mal. Ich weiß genau, wovon du sprichst, was mit deinen Lieben passiert ist…","Słuchaj. Doskonale wiem o czym mówisz, to co stało się z twoimi bliskimi…","DIA_KALY_HELLO2_03_01","DIA_KALY_HELLO2"
"PC_HERO","Diese Bastarde haben meinen Vater und meine Mutter getötet, ich werde ihnen nicht vergeben. Ich muss mich rächen!","Te dranie zabiły mi ojca i matkę, nie daruję im tego. Muszę się zemścić!","DIA_KALY_HELLO2_15_02","DIA_KALY_HELLO2"
"NONE_5000_Kaly","Du wirst dich noch rächen können. Keine sorge.","I zemścisz się, zobaczysz.","DIA_KALY_HELLO2_03_03","DIA_KALY_HELLO2"
"NONE_5000_Kaly","Auf Geheiß des derzeitigen Königs Rezenhart befahl Proxemo seinen Männern, nahe gelegene Siedlungen zu überfallen und Menschen zu fangen, die dann von den örtlichen Gladiatoren in der Arena getötet wurden.","Za poleceniem obecnego Króla, Rezenharta, Proxemo rozkazał swoim ludziom napaść na pobliskie osady i pojmać ludzi, którzy potem będą zabijani przez tutejszych Gladiatorów na arenie.","DIA_KALY_HELLO2_03_04","DIA_KALY_HELLO2"
